Wave,Reference,Predicted,TP,FP,FN,Sensitivity,PPV,F1,Missed,False,Onset MAE,Offset MAE,seed,record_id,sampling_frequency_hz,reference_length,prediction_length
P,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,5.142857142857143,15.428571428571429,1,138,250.0,2500,2500
T,7,31,6,25,1,0.8571428571428571,0.1935483870967742,0.3157894736842105,1,25,62.666666666666664,130.0,1,138,250.0,2500,2500
P,9,14,9,5,0,1.0,0.6428571428571429,0.782608695652174,0,5,20.444444444444443,11.555555555555555,1,139,250.0,2500,2500
T,9,21,9,12,0,1.0,0.42857142857142855,0.6,0,12,16.444444444444443,12.0,1,139,250.0,2500,2500
P,11,13,11,2,0,1.0,0.8461538461538461,0.9166666666666666,0,2,4.0,4.0,1,14,250.0,2500,2500
T,11,16,11,5,0,1.0,0.6875,0.8148148148148148,0,5,12.0,16.363636363636363,1,14,250.0,2500,2500
P,10,2,1,1,9,0.1,0.5,0.16666666666666669,9,1,64.0,24.0,1,140,250.0,2500,2500
T,10,12,10,2,0,1.0,0.8333333333333334,0.9090909090909091,0,2,24.0,5.6,1,140,250.0,2500,2500
P,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,8.571428571428571,9.142857142857142,1,141,250.0,2500,2500
T,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,18.857142857142858,6.857142857142857,1,141,250.0,2500,2500
P,9,11,9,2,0,1.0,0.8181818181818182,0.9,0,2,4.888888888888889,8.88888888888889,1,142,250.0,2500,2500
T,9,11,9,2,0,1.0,0.8181818181818182,0.9,0,2,13.333333333333334,8.444444444444445,1,142,250.0,2500,2500
P,11,12,11,1,0,1.0,0.9166666666666666,0.9565217391304348,0,1,2.5454545454545454,5.090909090909091,1,143,250.0,2500,2500
T,11,13,11,2,0,1.0,0.8461538461538461,0.9166666666666666,0,2,22.181818181818183,11.272727272727273,1,143,250.0,2500,2500
P,8,10,8,2,0,1.0,0.8,0.888888888888889,0,2,5.5,10.0,1,144,250.0,2500,2500
T,8,10,8,2,0,1.0,0.8,0.888888888888889,0,2,24.0,6.5,1,144,250.0,2500,2500
P,8,10,8,2,0,1.0,0.8,0.888888888888889,0,2,4.0,5.0,1,145,250.0,2500,2500
T,8,10,8,2,0,1.0,0.8,0.888888888888889,0,2,44.5,11.0,1,145,250.0,2500,2500
P,7,9,7,2,0,1.0,0.7777777777777778,0.8750000000000001,0,2,5.142857142857143,11.428571428571429,1,146,250.0,2500,2500
T,7,9,7,2,0,1.0,0.7777777777777778,0.8750000000000001,0,2,24.0,8.0,1,146,250.0,2500,2500
P,7,9,7,2,0,1.0,0.7777777777777778,0.8750000000000001,0,2,17.714285714285715,8.571428571428571,1,147,250.0,2500,2500
T,7,9,7,2,0,1.0,0.7777777777777778,0.8750000000000001,0,2,4.571428571428571,10.285714285714286,1,147,250.0,2500,2500
P,9,10,9,1,0,1.0,0.9,0.9473684210526316,0,1,5.777777777777778,5.777777777777778,1,148,250.0,2500,2500
T,9,12,9,3,0,1.0,0.75,0.8571428571428571,0,3,15.555555555555555,7.555555555555555,1,148,250.0,2500,2500
P,8,10,8,2,0,1.0,0.8,0.888888888888889,0,2,4.5,8.5,1,149,250.0,2500,2500
T,8,10,8,2,0,1.0,0.8,0.888888888888889,0,2,32.0,5.0,1,149,250.0,2500,2500
P,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,22.285714285714285,10.857142857142858,1,15,250.0,2500,2500
T,7,12,7,5,0,1.0,0.5833333333333334,0.7368421052631579,0,5,27.428571428571427,34.857142857142854,1,15,250.0,2500,2500
P,9,11,9,2,0,1.0,0.8181818181818182,0.9,0,2,12.88888888888889,4.0,1,151,250.0,2500,2500
T,9,12,9,3,0,1.0,0.75,0.8571428571428571,0,3,11.555555555555555,5.777777777777778,1,151,250.0,2500,2500
P,8,10,8,2,0,1.0,0.8,0.888888888888889,0,2,4.0,2.0,1,152,250.0,2500,2500
T,8,10,8,2,0,1.0,0.8,0.888888888888889,0,2,21.0,6.0,1,152,250.0,2500,2500
P,7,8,7,1,0,1.0,0.875,0.9333333333333333,0,1,2.2857142857142856,6.285714285714286,1,153,250.0,2500,2500
T,7,8,7,1,0,1.0,0.875,0.9333333333333333,0,1,18.285714285714285,6.285714285714286,1,153,250.0,2500,2500
P,8,11,8,3,0,1.0,0.7272727272727273,0.8421052631578948,0,3,11.5,9.0,1,154,250.0,2500,2500
T,8,11,8,3,0,1.0,0.7272727272727273,0.8421052631578948,0,3,17.5,7.0,1,154,250.0,2500,2500
P,7,11,7,4,0,1.0,0.6363636363636364,0.7777777777777778,0,4,14.285714285714286,10.857142857142858,1,155,250.0,2500,2500
T,7,9,7,2,0,1.0,0.7777777777777778,0.8750000000000001,0,2,9.142857142857142,6.285714285714286,1,155,250.0,2500,2500
P,6,9,6,3,0,1.0,0.6666666666666666,0.8,0,3,4.666666666666667,11.333333333333334,1,157,250.0,2500,2500
T,6,9,6,3,0,1.0,0.6666666666666666,0.8,0,3,16.0,7.333333333333333,1,157,250.0,2500,2500
P,7,11,7,4,0,1.0,0.6363636363636364,0.7777777777777778,0,4,5.142857142857143,5.714285714285714,1,158,250.0,2500,2500
T,7,19,7,12,0,1.0,0.3684210526315789,0.5384615384615384,0,12,45.142857142857146,25.142857142857142,1,158,250.0,2500,2500
P,8,11,8,3,0,1.0,0.7272727272727273,0.8421052631578948,0,3,5.5,2.5,1,159,250.0,2500,2500
T,8,11,8,3,0,1.0,0.7272727272727273,0.8421052631578948,0,3,40.5,9.0,1,159,250.0,2500,2500
P,9,11,9,2,0,1.0,0.8181818181818182,0.9,0,2,20.88888888888889,11.11111111111111,1,16,250.0,2500,2500
T,9,11,9,2,0,1.0,0.8181818181818182,0.9,0,2,15.555555555555555,8.88888888888889,1,16,250.0,2500,2500
P,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,12.0,6.857142857142857,1,161,250.0,2500,2500
T,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,26.857142857142858,6.857142857142857,1,161,250.0,2500,2500
P,9,10,9,1,0,1.0,0.9,0.9473684210526316,0,1,2.6666666666666665,2.2222222222222223,1,162,250.0,2500,2500
T,9,10,9,1,0,1.0,0.9,0.9473684210526316,0,1,26.666666666666668,7.555555555555555,1,162,250.0,2500,2500
P,9,11,9,2,0,1.0,0.8181818181818182,0.9,0,2,4.444444444444445,5.333333333333333,1,163,250.0,2500,2500
T,9,16,9,7,0,1.0,0.5625,0.72,0,7,23.555555555555557,25.333333333333332,1,163,250.0,2500,2500
P,8,10,8,2,0,1.0,0.8,0.888888888888889,0,2,7.0,6.5,1,164,250.0,2500,2500
T,8,12,8,4,0,1.0,0.6666666666666666,0.8,0,4,6.0,6.0,1,164,250.0,2500,2500
P,8,13,8,5,0,1.0,0.6153846153846154,0.761904761904762,0,5,18.0,3.5,1,165,250.0,2500,2500
T,8,15,8,7,0,1.0,0.5333333333333333,0.6956521739130436,0,7,3.5,10.0,1,165,250.0,2500,2500
P,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,6.285714285714286,10.285714285714286,1,166,250.0,2500,2500
T,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,14.857142857142858,3.4285714285714284,1,166,250.0,2500,2500
